"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Offence Group","C02199V02655","Sex","UNIT","VALUE"
"RCD08C01","Recorded crime suspected offenders","2018","2018","10","Controlled Drug Offences","-","Both sexes","Number","17383"
"RCD08C01","Recorded crime suspected offenders","2018","2018","10","Controlled Drug Offences","1","Male","Number","15697"
"RCD08C01","Recorded crime suspected offenders","2018","2018","10","Controlled Drug Offences","2","Female","Number","1686"
"RCD08C01","Recorded crime suspected offenders","2018","2018","11","Weapons and Explosives Offences","-","Both sexes","Number","2013"
"RCD08C01","Recorded crime suspected offenders","2018","2018","11","Weapons and Explosives Offences","1","Male","Number","1870"
"RCD08C01","Recorded crime suspected offenders","2018","2018","11","Weapons and Explosives Offences","2","Female","Number","143"
"RCD08C01","Recorded crime suspected offenders","2018","2018","12","Damage to Property and to the Environment","-","Both sexes","Number","4834"
"RCD08C01","Recorded crime suspected offenders","2018","2018","12","Damage to Property and to the Environment","1","Male","Number","4359"
"RCD08C01","Recorded crime suspected offenders","2018","2018","12","Damage to Property and to the Environment","2","Female","Number","475"
"RCD08C01","Recorded crime suspected offenders","2018","2018","13","Public Order and other Social Code Offences","-","Both sexes","Number","29231"
"RCD08C01","Recorded crime suspected offenders","2018","2018","13","Public Order and other Social Code Offences","1","Male","Number","24458"
"RCD08C01","Recorded crime suspected offenders","2018","2018","13","Public Order and other Social Code Offences","2","Female","Number","4773"
"RCD08C01","Recorded crime suspected offenders","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","-","Both sexes","Number","9358"
"RCD08C01","Recorded crime suspected offenders","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","1","Male","Number","7892"
"RCD08C01","Recorded crime suspected offenders","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","2","Female","Number","1466"
"RCD08C01","Recorded crime suspected offenders","2019","2019","01","Homicide Offences","-","Both sexes","Number","58"
"RCD08C01","Recorded crime suspected offenders","2019","2019","01","Homicide Offences","1","Male","Number","48"
"RCD08C01","Recorded crime suspected offenders","2019","2019","01","Homicide Offences","2","Female","Number","10"
"RCD08C01","Recorded crime suspected offenders","2019","2019","011","Murder/Manslaughter/Infanticide","-","Both sexes","Number","32"
"RCD08C01","Recorded crime suspected offenders","2019","2019","011","Murder/Manslaughter/Infanticide","1","Male","Number","29"
"RCD08C01","Recorded crime suspected offenders","2019","2019","011","Murder/Manslaughter/Infanticide","2","Female","Number","3"
"RCD08C01","Recorded crime suspected offenders","2019","2019","012","Dangerous Driving Leading to death","-","Both sexes","Number","26"
"RCD08C01","Recorded crime suspected offenders","2019","2019","012","Dangerous Driving Leading to death","1","Male","Number","19"
"RCD08C01","Recorded crime suspected offenders","2019","2019","012","Dangerous Driving Leading to death","2","Female","Number","7"
"RCD08C01","Recorded crime suspected offenders","2019","2019","02","Sexual Offences","-","Both sexes","Number","897"
"RCD08C01","Recorded crime suspected offenders","2019","2019","02","Sexual Offences","1","Male","Number","884"
"RCD08C01","Recorded crime suspected offenders","2019","2019","02","Sexual Offences","2","Female","Number","13"
"RCD08C01","Recorded crime suspected offenders","2019","2019","021","Rape & Sexual Assault","-","Both sexes","Number","730"
"RCD08C01","Recorded crime suspected offenders","2019","2019","021","Rape & Sexual Assault","1","Male","Number","725"
"RCD08C01","Recorded crime suspected offenders","2019","2019","021","Rape & Sexual Assault","2","Female","Number","5"
"RCD08C01","Recorded crime suspected offenders","2019","2019","022","Other Sexual offences","-","Both sexes","Number","167"
"RCD08C01","Recorded crime suspected offenders","2019","2019","022","Other Sexual offences","1","Male","Number","159"
"RCD08C01","Recorded crime suspected offenders","2019","2019","022","Other Sexual offences","2","Female","Number","8"
"RCD08C01","Recorded crime suspected offenders","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","-","Both sexes","Number","8693"
"RCD08C01","Recorded crime suspected offenders","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","1","Male","Number","6972"
"RCD08C01","Recorded crime suspected offenders","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","2","Female","Number","1721"
"RCD08C01","Recorded crime suspected offenders","2019","2019","031","Attempts/Threats to Murder","-","Both sexes","Number","433"
"RCD08C01","Recorded crime suspected offenders","2019","2019","031","Attempts/Threats to Murder","1","Male","Number","403"
"RCD08C01","Recorded crime suspected offenders","2019","2019","031","Attempts/Threats to Murder","2","Female","Number","30"
"RCD08C01","Recorded crime suspected offenders","2019","2019","032","Assaults","-","Both sexes","Number","8015"
"RCD08C01","Recorded crime suspected offenders","2019","2019","032","Assaults","1","Male","Number","6363"
"RCD08C01","Recorded crime suspected offenders","2019","2019","032","Assaults","2","Female","Number","1652"
"RCD08C01","Recorded crime suspected offenders","2019","2019","033","Harassment & Related offences","-","Both sexes","Number","245"
"RCD08C01","Recorded crime suspected offenders","2019","2019","033","Harassment & Related offences","1","Male","Number","206"
"RCD08C01","Recorded crime suspected offenders","2019","2019","033","Harassment & Related offences","2","Female","Number","39"
"RCD08C01","Recorded crime suspected offenders","2019","2019","04","Dangerous or Negligent Acts","-","Both sexes","Number","7657"
"RCD08C01","Recorded crime suspected offenders","2019","2019","04","Dangerous or Negligent Acts","1","Male","Number","6606"
"RCD08C01","Recorded crime suspected offenders","2019","2019","04","Dangerous or Negligent Acts","2","Female","Number","1051"
"RCD08C01","Recorded crime suspected offenders","2019","2019","05","Kidnapping and Related Offences","-","Both sexes","Number","52"
"RCD08C01","Recorded crime suspected offenders","2019","2019","05","Kidnapping and Related Offences","1","Male","Number","46"
"RCD08C01","Recorded crime suspected offenders","2019","2019","05","Kidnapping and Related Offences","2","Female","Number","6"
"RCD08C01","Recorded crime suspected offenders","2019","2019","06","Robbery, Extortion and Hijacking Offences","-","Both sexes","Number","980"
"RCD08C01","Recorded crime suspected offenders","2019","2019","06","Robbery, Extortion and Hijacking Offences","1","Male","Number","919"
"RCD08C01","Recorded crime suspected offenders","2019","2019","06","Robbery, Extortion and Hijacking Offences","2","Female","Number","61"
"RCD08C01","Recorded crime suspected offenders","2019","2019","07","Burglary and Related Offences","-","Both sexes","Number","3328"
"RCD08C01","Recorded crime suspected offenders","2019","2019","07","Burglary and Related Offences","1","Male","Number","3091"
"RCD08C01","Recorded crime suspected offenders","2019","2019","07","Burglary and Related Offences","2","Female","Number","237"
"RCD08C01","Recorded crime suspected offenders","2019","2019","08","Theft and Related Offences","-","Both sexes","Number","26397"
"RCD08C01","Recorded crime suspected offenders","2019","2019","08","Theft and Related Offences","1","Male","Number","16306"
"RCD08C01","Recorded crime suspected offenders","2019","2019","08","Theft and Related Offences","2","Female","Number","10091"
"RCD08C01","Recorded crime suspected offenders","2019","2019","09","Fraud, Deception and Related Offences","-","Both sexes","Number","2362"
"RCD08C01","Recorded crime suspected offenders","2019","2019","09","Fraud, Deception and Related Offences","1","Male","Number","1821"
"RCD08C01","Recorded crime suspected offenders","2019","2019","09","Fraud, Deception and Related Offences","2","Female","Number","541"
"RCD08C01","Recorded crime suspected offenders","2019","2019","10","Controlled Drug Offences","-","Both sexes","Number","20555"
"RCD08C01","Recorded crime suspected offenders","2019","2019","10","Controlled Drug Offences","1","Male","Number","18602"
"RCD08C01","Recorded crime suspected offenders","2019","2019","10","Controlled Drug Offences","2","Female","Number","1953"
"RCD08C01","Recorded crime suspected offenders","2019","2019","11","Weapons and Explosives Offences","-","Both sexes","Number","2162"
"RCD08C01","Recorded crime suspected offenders","2019","2019","11","Weapons and Explosives Offences","1","Male","Number","2017"
"RCD08C01","Recorded crime suspected offenders","2019","2019","11","Weapons and Explosives Offences","2","Female","Number","145"
"RCD08C01","Recorded crime suspected offenders","2019","2019","12","Damage to Property and to the Environment","-","Both sexes","Number","5258"
"RCD08C01","Recorded crime suspected offenders","2019","2019","12","Damage to Property and to the Environment","1","Male","Number","4734"
"RCD08C01","Recorded crime suspected offenders","2019","2019","12","Damage to Property and to the Environment","2","Female","Number","524"
"RCD08C01","Recorded crime suspected offenders","2019","2019","13","Public Order and other Social Code Offences","-","Both sexes","Number","29960"
"RCD08C01","Recorded crime suspected offenders","2019","2019","13","Public Order and other Social Code Offences","1","Male","Number","25126"
"RCD08C01","Recorded crime suspected offenders","2019","2019","13","Public Order and other Social Code Offences","2","Female","Number","4834"
"RCD08C01","Recorded crime suspected offenders","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","-","Both sexes","Number","9716"
"RCD08C01","Recorded crime suspected offenders","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","1","Male","Number","8093"
"RCD08C01","Recorded crime suspected offenders","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","2","Female","Number","1623"
"RCD08C01","Recorded crime suspected offenders","2020","2020","01","Homicide Offences","-","Both sexes","Number","66"
"RCD08C01","Recorded crime suspected offenders","2020","2020","01","Homicide Offences","1","Male","Number","58"
"RCD08C01","Recorded crime suspected offenders","2020","2020","01","Homicide Offences","2","Female","Number","8"
"RCD08C01","Recorded crime suspected offenders","2020","2020","011","Murder/Manslaughter/Infanticide","-","Both sexes","Number","33"
"RCD08C01","Recorded crime suspected offenders","2020","2020","011","Murder/Manslaughter/Infanticide","1","Male","Number","28"
"RCD08C01","Recorded crime suspected offenders","2020","2020","011","Murder/Manslaughter/Infanticide","2","Female","Number","5"
"RCD08C01","Recorded crime suspected offenders","2020","2020","012","Dangerous Driving Leading to death","-","Both sexes","Number","33"
"RCD08C01","Recorded crime suspected offenders","2020","2020","012","Dangerous Driving Leading to death","1","Male","Number","30"
"RCD08C01","Recorded crime suspected offenders","2020","2020","012","Dangerous Driving Leading to death","2","Female","Number","3"
"RCD08C01","Recorded crime suspected offenders","2020","2020","02","Sexual Offences","-","Both sexes","Number","824"
"RCD08C01","Recorded crime suspected offenders","2020","2020","02","Sexual Offences","1","Male","Number","802"
"RCD08C01","Recorded crime suspected offenders","2020","2020","02","Sexual Offences","2","Female","Number","22"
"RCD08C01","Recorded crime suspected offenders","2020","2020","021","Rape & Sexual Assault","-","Both sexes","Number","693"
"RCD08C01","Recorded crime suspected offenders","2020","2020","021","Rape & Sexual Assault","1","Male","Number","680"
"RCD08C01","Recorded crime suspected offenders","2020","2020","021","Rape & Sexual Assault","2","Female","Number","13"
"RCD08C01","Recorded crime suspected offenders","2020","2020","022","Other Sexual offences","-","Both sexes","Number","131"
"RCD08C01","Recorded crime suspected offenders","2020","2020","022","Other Sexual offences","1","Male","Number","122"
"RCD08C01","Recorded crime suspected offenders","2020","2020","022","Other Sexual offences","2","Female","Number","9"
"RCD08C01","Recorded crime suspected offenders","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","-","Both sexes","Number","8186"
"RCD08C01","Recorded crime suspected offenders","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","1","Male","Number","6590"
"RCD08C01","Recorded crime suspected offenders","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","2","Female","Number","1596"
"RCD08C01","Recorded crime suspected offenders","2020","2020","031","Attempts/Threats to Murder","-","Both sexes","Number","643"
"RCD08C01","Recorded crime suspected offenders","2020","2020","031","Attempts/Threats to Murder","1","Male","Number","585"
"RCD08C01","Recorded crime suspected offenders","2020","2020","031","Attempts/Threats to Murder","2","Female","Number","58"
"RCD08C01","Recorded crime suspected offenders","2020","2020","032","Assaults","-","Both sexes","Number","7276"
"RCD08C01","Recorded crime suspected offenders","2020","2020","032","Assaults","1","Male","Number","5774"
"RCD08C01","Recorded crime suspected offenders","2020","2020","032","Assaults","2","Female","Number","1502"
"RCD08C01","Recorded crime suspected offenders","2020","2020","033","Harassment & Related offences","-","Both sexes","Number","267"
"RCD08C01","Recorded crime suspected offenders","2020","2020","033","Harassment & Related offences","1","Male","Number","231"
"RCD08C01","Recorded crime suspected offenders","2020","2020","033","Harassment & Related offences","2","Female","Number","36"
"RCD08C01","Recorded crime suspected offenders","2020","2020","04","Dangerous or Negligent Acts","-","Both sexes","Number","7700"
"RCD08C01","Recorded crime suspected offenders","2020","2020","04","Dangerous or Negligent Acts","1","Male","Number","6646"
"RCD08C01","Recorded crime suspected offenders","2020","2020","04","Dangerous or Negligent Acts","2","Female","Number","1054"
"RCD08C01","Recorded crime suspected offenders","2020","2020","05","Kidnapping and Related Offences","-","Both sexes","Number","79"
"RCD08C01","Recorded crime suspected offenders","2020","2020","05","Kidnapping and Related Offences","1","Male","Number","76"
"RCD08C01","Recorded crime suspected offenders","2020","2020","05","Kidnapping and Related Offences","2","Female","Number","3"
"RCD08C01","Recorded crime suspected offenders","2020","2020","06","Robbery, Extortion and Hijacking Offences","-","Both sexes","Number","908"
"RCD08C01","Recorded crime suspected offenders","2020","2020","06","Robbery, Extortion and Hijacking Offences","1","Male","Number","820"
"RCD08C01","Recorded crime suspected offenders","2020","2020","06","Robbery, Extortion and Hijacking Offences","2","Female","Number","88"
"RCD08C01","Recorded crime suspected offenders","2020","2020","07","Burglary and Related Offences","-","Both sexes","Number","3237"
"RCD08C01","Recorded crime suspected offenders","2020","2020","07","Burglary and Related Offences","1","Male","Number","3002"
"RCD08C01","Recorded crime suspected offenders","2020","2020","07","Burglary and Related Offences","2","Female","Number","235"
"RCD08C01","Recorded crime suspected offenders","2020","2020","08","Theft and Related Offences","-","Both sexes","Number","21595"
"RCD08C01","Recorded crime suspected offenders","2020","2020","08","Theft and Related Offences","1","Male","Number","14112"
"RCD08C01","Recorded crime suspected offenders","2020","2020","08","Theft and Related Offences","2","Female","Number","7483"
"RCD08C01","Recorded crime suspected offenders","2020","2020","09","Fraud, Deception and Related Offences","-","Both sexes","Number","2202"
"RCD08C01","Recorded crime suspected offenders","2020","2020","09","Fraud, Deception and Related Offences","1","Male","Number","1818"
"RCD08C01","Recorded crime suspected offenders","2020","2020","09","Fraud, Deception and Related Offences","2","Female","Number","384"
"RCD08C01","Recorded crime suspected offenders","2020","2020","10","Controlled Drug Offences","-","Both sexes","Number","22122"
"RCD08C01","Recorded crime suspected offenders","2020","2020","10","Controlled Drug Offences","1","Male","Number","19777"
"RCD08C01","Recorded crime suspected offenders","2020","2020","10","Controlled Drug Offences","2","Female","Number","2345"
"RCD08C01","Recorded crime suspected offenders","2020","2020","11","Weapons and Explosives Offences","-","Both sexes","Number","2553"
"RCD08C01","Recorded crime suspected offenders","2020","2020","11","Weapons and Explosives Offences","1","Male","Number","2350"
"RCD08C01","Recorded crime suspected offenders","2020","2020","11","Weapons and Explosives Offences","2","Female","Number","203"
"RCD08C01","Recorded crime suspected offenders","2020","2020","12","Damage to Property and to the Environment","-","Both sexes","Number","5337"
"RCD08C01","Recorded crime suspected offenders","2020","2020","12","Damage to Property and to the Environment","1","Male","Number","4790"
"RCD08C01","Recorded crime suspected offenders","2020","2020","12","Damage to Property and to the Environment","2","Female","Number","547"
"RCD08C01","Recorded crime suspected offenders","2020","2020","13","Public Order and other Social Code Offences","-","Both sexes","Number","27602"
"RCD08C01","Recorded crime suspected offenders","2020","2020","13","Public Order and other Social Code Offences","1","Male","Number","23097"
"RCD08C01","Recorded crime suspected offenders","2020","2020","13","Public Order and other Social Code Offences","2","Female","Number","4505"
"RCD08C01","Recorded crime suspected offenders","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","-","Both sexes","Number","6619"
"RCD08C01","Recorded crime suspected offenders","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","1","Male","Number","5831"
"RCD08C01","Recorded crime suspected offenders","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","2","Female","Number","788"
"RCD08C01","Recorded crime suspected offenders","2021","2021","01","Homicide Offences","-","Both sexes","Number","52"
"RCD08C01","Recorded crime suspected offenders","2021","2021","01","Homicide Offences","1","Male","Number","44"
"RCD08C01","Recorded crime suspected offenders","2021","2021","01","Homicide Offences","2","Female","Number","8"
"RCD08C01","Recorded crime suspected offenders","2021","2021","011","Murder/Manslaughter/Infanticide","-","Both sexes","Number","22"
"RCD08C01","Recorded crime suspected offenders","2021","2021","011","Murder/Manslaughter/Infanticide","1","Male","Number","21"
"RCD08C01","Recorded crime suspected offenders","2021","2021","011","Murder/Manslaughter/Infanticide","2","Female","Number","1"
"RCD08C01","Recorded crime suspected offenders","2021","2021","012","Dangerous Driving Leading to death","-","Both sexes","Number","30"
"RCD08C01","Recorded crime suspected offenders","2021","2021","012","Dangerous Driving Leading to death","1","Male","Number","23"
"RCD08C01","Recorded crime suspected offenders","2021","2021","012","Dangerous Driving Leading to death","2","Female","Number","7"
"RCD08C01","Recorded crime suspected offenders","2021","2021","02","Sexual Offences","-","Both sexes","Number","825"
"RCD08C01","Recorded crime suspected offenders","2021","2021","02","Sexual Offences","1","Male","Number","810"
"RCD08C01","Recorded crime suspected offenders","2021","2021","02","Sexual Offences","2","Female","Number","15"
"RCD08C01","Recorded crime suspected offenders","2021","2021","021","Rape & Sexual Assault","-","Both sexes","Number","673"
"RCD08C01","Recorded crime suspected offenders","2021","2021","021","Rape & Sexual Assault","1","Male","Number","664"
"RCD08C01","Recorded crime suspected offenders","2021","2021","021","Rape & Sexual Assault","2","Female","Number","9"
"RCD08C01","Recorded crime suspected offenders","2021","2021","022","Other Sexual offences","-","Both sexes","Number","152"
"RCD08C01","Recorded crime suspected offenders","2021","2021","022","Other Sexual offences","1","Male","Number","146"
"RCD08C01","Recorded crime suspected offenders","2021","2021","022","Other Sexual offences","2","Female","Number","6"
"RCD08C01","Recorded crime suspected offenders","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","-","Both sexes","Number","7930"
"RCD08C01","Recorded crime suspected offenders","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","1","Male","Number","6452"
"RCD08C01","Recorded crime suspected offenders","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","2","Female","Number","1478"
"RCD08C01","Recorded crime suspected offenders","2021","2021","031","Attempts/Threats to Murder","-","Both sexes","Number","611"
"RCD08C01","Recorded crime suspected offenders","2021","2021","031","Attempts/Threats to Murder","1","Male","Number","563"
"RCD08C01","Recorded crime suspected offenders","2021","2021","031","Attempts/Threats to Murder","2","Female","Number","48"
"RCD08C01","Recorded crime suspected offenders","2021","2021","032","Assaults","-","Both sexes","Number","7047"
"RCD08C01","Recorded crime suspected offenders","2021","2021","032","Assaults","1","Male","Number","5678"
"RCD08C01","Recorded crime suspected offenders","2021","2021","032","Assaults","2","Female","Number","1369"
"RCD08C01","Recorded crime suspected offenders","2021","2021","033","Harassment & Related offences","-","Both sexes","Number","272"
"RCD08C01","Recorded crime suspected offenders","2021","2021","033","Harassment & Related offences","1","Male","Number","211"
"RCD08C01","Recorded crime suspected offenders","2021","2021","033","Harassment & Related offences","2","Female","Number","61"
"RCD08C01","Recorded crime suspected offenders","2021","2021","04","Dangerous or Negligent Acts","-","Both sexes","Number","7250"
"RCD08C01","Recorded crime suspected offenders","2021","2021","04","Dangerous or Negligent Acts","1","Male","Number","6263"
"RCD08C01","Recorded crime suspected offenders","2021","2021","04","Dangerous or Negligent Acts","2","Female","Number","987"
"RCD08C01","Recorded crime suspected offenders","2021","2021","05","Kidnapping and Related Offences","-","Both sexes","Number","99"
"RCD08C01","Recorded crime suspected offenders","2021","2021","05","Kidnapping and Related Offences","1","Male","Number","85"
"RCD08C01","Recorded crime suspected offenders","2021","2021","05","Kidnapping and Related Offences","2","Female","Number","14"
"RCD08C01","Recorded crime suspected offenders","2021","2021","06","Robbery, Extortion and Hijacking Offences","-","Both sexes","Number","681"
"RCD08C01","Recorded crime suspected offenders","2021","2021","06","Robbery, Extortion and Hijacking Offences","1","Male","Number","620"
"RCD08C01","Recorded crime suspected offenders","2021","2021","06","Robbery, Extortion and Hijacking Offences","2","Female","Number","61"
"RCD08C01","Recorded crime suspected offenders","2021","2021","07","Burglary and Related Offences","-","Both sexes","Number","2210"
"RCD08C01","Recorded crime suspected offenders","2021","2021","07","Burglary and Related Offences","1","Male","Number","2028"
"RCD08C01","Recorded crime suspected offenders","2021","2021","07","Burglary and Related Offences","2","Female","Number","182"
"RCD08C01","Recorded crime suspected offenders","2021","2021","08","Theft and Related Offences","-","Both sexes","Number","18155"
"RCD08C01","Recorded crime suspected offenders","2021","2021","08","Theft and Related Offences","1","Male","Number","11957"
"RCD08C01","Recorded crime suspected offenders","2021","2021","08","Theft and Related Offences","2","Female","Number","6198"
"RCD08C01","Recorded crime suspected offenders","2021","2021","09","Fraud, Deception and Related Offences","-","Both sexes","Number","1694"
"RCD08C01","Recorded crime suspected offenders","2021","2021","09","Fraud, Deception and Related Offences","1","Male","Number","1313"
"RCD08C01","Recorded crime suspected offenders","2021","2021","09","Fraud, Deception and Related Offences","2","Female","Number","381"
"RCD08C01","Recorded crime suspected offenders","2021","2021","10","Controlled Drug Offences","-","Both sexes","Number","18558"
"RCD08C01","Recorded crime suspected offenders","2021","2021","10","Controlled Drug Offences","1","Male","Number","16613"
"RCD08C01","Recorded crime suspected offenders","2021","2021","10","Controlled Drug Offences","2","Female","Number","1945"
"RCD08C01","Recorded crime suspected offenders","2021","2021","11","Weapons and Explosives Offences","-","Both sexes","Number","1985"
"RCD08C01","Recorded crime suspected offenders","2021","2021","11","Weapons and Explosives Offences","1","Male","Number","1838"
"RCD08C01","Recorded crime suspected offenders","2021","2021","11","Weapons and Explosives Offences","2","Female","Number","147"
"RCD08C01","Recorded crime suspected offenders","2021","2021","12","Damage to Property and to the Environment","-","Both sexes","Number","4813"
"RCD08C01","Recorded crime suspected offenders","2021","2021","12","Damage to Property and to the Environment","1","Male","Number","4261"
"RCD08C01","Recorded crime suspected offenders","2021","2021","12","Damage to Property and to the Environment","2","Female","Number","552"
"RCD08C01","Recorded crime suspected offenders","2021","2021","13","Public Order and other Social Code Offences","-","Both sexes","Number","26241"
"RCD08C01","Recorded crime suspected offenders","2021","2021","13","Public Order and other Social Code Offences","1","Male","Number","21901"
"RCD08C01","Recorded crime suspected offenders","2021","2021","13","Public Order and other Social Code Offences","2","Female","Number","4340"
"RCD08C01","Recorded crime suspected offenders","2021","2021","15","Offences against Government, Justice Procedures and Organisation of Crime","-","Both sexes","Number","7212"
"RCD08C01","Recorded crime suspected offenders","2021","2021","15","Offences against Government, Justice Procedures and Organisation of Crime","1","Male","Number","6296"
"RCD08C01","Recorded crime suspected offenders","2021","2021","15","Offences against Government, Justice Procedures and Organisation of Crime","2","Female","Number","916"
"RCD08C01","Recorded crime suspected offenders","2022","2022","01","Homicide Offences","-","Both sexes","Number","77"
