"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"RCD04C01","Crime incident detection rates","2019","2019","041","Dangerous or negligent operation of a vehicle","%","93"
"RCD04C01","Crime incident detection rates","2019","2019","042","Other dangerous or negligent acts","%","33"
"RCD04C01","Crime incident detection rates","2019","2019","05","Kidnapping and related offences","%","31"
"RCD04C01","Crime incident detection rates","2019","2019","0511","False imprisonment","%","41"
"RCD04C01","Crime incident detection rates","2019","2019","0512","Abduction of person under 16 years of age","%","5"
"RCD04C01","Crime incident detection rates","2019","2019","0513","Human trafficking offences","%","16"
"RCD04C01","Crime incident detection rates","2019","2019","06","Robbery, extortion and hijacking offences","%","33"
"RCD04C01","Crime incident detection rates","2019","2019","0611","Robbery of an establishment or institution","%","50"
"RCD04C01","Crime incident detection rates","2019","2019","0612","Robbery of cash or goods in transit","%","26"
"RCD04C01","Crime incident detection rates","2019","2019","0613","Robbery from the person","%","29"
"RCD04C01","Crime incident detection rates","2019","2019","0621","Blackmail or extortion","%","11"
"RCD04C01","Crime incident detection rates","2019","2019","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","25"
"RCD04C01","Crime incident detection rates","2019","2019","07","Burglary and related offences","%","16"
"RCD04C01","Crime incident detection rates","2019","2019","071","Burglary","%","15"
"RCD04C01","Crime incident detection rates","2019","2019","0713","Possession of an article (with intent to burgle, steal, demand)","%","94"
"RCD04C01","Crime incident detection rates","2019","2019","08","Theft and related offences","%","35"
"RCD04C01","Crime incident detection rates","2019","2019","081","Theft/taking of vehicle and related offences","%","17"
"RCD04C01","Crime incident detection rates","2019","2019","0821","Theft from person","%","11"
"RCD04C01","Crime incident detection rates","2019","2019","0822","Theft from shop","%","65"
"RCD04C01","Crime incident detection rates","2019","2019","084","Other thefts, handling stolen property","%","18"
"RCD04C01","Crime incident detection rates","2019","2019","09","Fraud, deception and related offences","%","28"
"RCD04C01","Crime incident detection rates","2019","2019","10","Controlled drug offences","%","94"
"RCD04C01","Crime incident detection rates","2019","2019","1011","Importation of drugs","%","57"
"RCD04C01","Crime incident detection rates","2019","2019","1012","Cultivation or manufacture of drugs","%","84"
"RCD04C01","Crime incident detection rates","2019","2019","1021","Possession of drugs for sale or supply","%","90"
"RCD04C01","Crime incident detection rates","2019","2019","1022","Possession of drugs for personal use","%","96"
"RCD04C01","Crime incident detection rates","2019","2019","103","Other Drug Offences","%","92"
"RCD04C01","Crime incident detection rates","2019","2019","11","Weapons and Explosives Offences","%","77"
"RCD04C01","Crime incident detection rates","2019","2019","111","Explosives, Chemical Weapons offences","%","14"
"RCD04C01","Crime incident detection rates","2019","2019","112","Firearms offences","%","49"
"RCD04C01","Crime incident detection rates","2019","2019","113","Offensive weapons offences (nec)","%","87"
"RCD04C01","Crime incident detection rates","2019","2019","114","Fireworks Offences","%","42"
"RCD04C01","Crime incident detection rates","2019","2019","12","Damage to property and the environment","%","22"
"RCD04C01","Crime incident detection rates","2019","2019","1211","Arson","%","14"
"RCD04C01","Crime incident detection rates","2019","2019","1212","Criminal damage (not arson)","%","22"
"RCD04C01","Crime incident detection rates","2019","2019","1221","Litter offences","%","24"
"RCD04C01","Crime incident detection rates","2019","2019","13","Public order and other social code offences","%","86"
"RCD04C01","Crime incident detection rates","2019","2019","131","Disorderly conduct","%","89"
"RCD04C01","Crime incident detection rates","2019","2019","132","Trespass offences","%","47"
"RCD04C01","Crime incident detection rates","2019","2019","133","Liquor licensing offences","%","79"
"RCD04C01","Crime incident detection rates","2019","2019","134","Prostitution offences","%","39"
"RCD04C01","Crime incident detection rates","2019","2019","135","Regulated Betting/Money, Collection/Trading Offences","%","81"
"RCD04C01","Crime incident detection rates","2019","2019","136","Other social code offences (nec)","%","79"
"RCD04C01","Crime incident detection rates","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","%","54"
"RCD04C01","Crime incident detection rates","2020","2020","01","Homicide offences","%","85"
"RCD04C01","Crime incident detection rates","2020","2020","011","Murder/manslaughter/infanticide","%","85"
"RCD04C01","Crime incident detection rates","2020","2020","012","Dangerous driving leading to death","%","84"
"RCD04C01","Crime incident detection rates","2020","2020","02","Sexual Offences","%","26"
"RCD04C01","Crime incident detection rates","2020","2020","021","Rape and sexual assault","%","25"
"RCD04C01","Crime incident detection rates","2020","2020","022","Other sexual offences","%","28"
"RCD04C01","Crime incident detection rates","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","40"
"RCD04C01","Crime incident detection rates","2020","2020","0311","Murder-attempt","%","42"
"RCD04C01","Crime incident detection rates","2020","2020","0313","Threat to kill or cause serious harm","%","39"
"RCD04C01","Crime incident detection rates","2020","2020","033","Harassment and related offences","%","15"
"RCD04C01","Crime incident detection rates","2020","2020","034","Assault causing harm, poisoning","%","54"
"RCD04C01","Crime incident detection rates","2020","2020","035","Other assault","%","38"
"RCD04C01","Crime incident detection rates","2020","2020","04","Dangerous of negligent acts","%","88"
"RCD04C01","Crime incident detection rates","2020","2020","041","Dangerous or negligent operation of a vehicle","%","94"
"RCD04C01","Crime incident detection rates","2020","2020","042","Other dangerous or negligent acts","%","37"
"RCD04C01","Crime incident detection rates","2020","2020","05","Kidnapping and related offences","%","51"
"RCD04C01","Crime incident detection rates","2020","2020","0511","False imprisonment","%","60"
"RCD04C01","Crime incident detection rates","2020","2020","0512","Abduction of person under 16 years of age","%","43"
"RCD04C01","Crime incident detection rates","2020","2020","0513","Human trafficking offences","%","5"
"RCD04C01","Crime incident detection rates","2020","2020","06","Robbery, extortion and hijacking offences","%","37"
"RCD04C01","Crime incident detection rates","2020","2020","0611","Robbery of an establishment or institution","%","57"
"RCD04C01","Crime incident detection rates","2020","2020","0612","Robbery of cash or goods in transit","%","20"
"RCD04C01","Crime incident detection rates","2020","2020","0613","Robbery from the person","%","36"
"RCD04C01","Crime incident detection rates","2020","2020","0621","Blackmail or extortion","%","16"
"RCD04C01","Crime incident detection rates","2020","2020","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","25"
"RCD04C01","Crime incident detection rates","2020","2020","07","Burglary and related offences","%","24"
"RCD04C01","Crime incident detection rates","2020","2020","071","Burglary","%","22"
"RCD04C01","Crime incident detection rates","2020","2020","0713","Possession of an article (with intent to burgle, steal, demand)","%","95"
"RCD04C01","Crime incident detection rates","2020","2020","08","Theft and related offences","%","38"
"RCD04C01","Crime incident detection rates","2020","2020","081","Theft/taking of vehicle and related offences","%","24"
"RCD04C01","Crime incident detection rates","2020","2020","0821","Theft from person","%","15"
"RCD04C01","Crime incident detection rates","2020","2020","0822","Theft from shop","%","65"
"RCD04C01","Crime incident detection rates","2020","2020","084","Other thefts, handling stolen property","%","21"
"RCD04C01","Crime incident detection rates","2020","2020","09","Fraud, deception and related offences","%","26"
"RCD04C01","Crime incident detection rates","2020","2020","10","Controlled drug offences","%","93"
"RCD04C01","Crime incident detection rates","2020","2020","1011","Importation of drugs","%","76"
"RCD04C01","Crime incident detection rates","2020","2020","1012","Cultivation or manufacture of drugs","%","87"
"RCD04C01","Crime incident detection rates","2020","2020","1021","Possession of drugs for sale or supply","%","87"
"RCD04C01","Crime incident detection rates","2020","2020","1022","Possession of drugs for personal use","%","95"
"RCD04C01","Crime incident detection rates","2020","2020","103","Other Drug Offences","%","92"
"RCD04C01","Crime incident detection rates","2020","2020","11","Weapons and Explosives Offences","%","79"
"RCD04C01","Crime incident detection rates","2020","2020","111","Explosives, Chemical Weapons offences","%","19"
"RCD04C01","Crime incident detection rates","2020","2020","112","Firearms offences","%","52"
"RCD04C01","Crime incident detection rates","2020","2020","113","Offensive weapons offences (nec)","%","89"
"RCD04C01","Crime incident detection rates","2020","2020","114","Fireworks Offences","%","41"
"RCD04C01","Crime incident detection rates","2020","2020","12","Damage to property and the environment","%","25"
"RCD04C01","Crime incident detection rates","2020","2020","1211","Arson","%","15"
"RCD04C01","Crime incident detection rates","2020","2020","1212","Criminal damage (not arson)","%","26"
"RCD04C01","Crime incident detection rates","2020","2020","1221","Litter offences","%","30"
"RCD04C01","Crime incident detection rates","2020","2020","13","Public order and other social code offences","%","87"
"RCD04C01","Crime incident detection rates","2020","2020","131","Disorderly conduct","%","90"
"RCD04C01","Crime incident detection rates","2020","2020","132","Trespass offences","%","56"
"RCD04C01","Crime incident detection rates","2020","2020","133","Liquor licensing offences","%","63"
"RCD04C01","Crime incident detection rates","2020","2020","134","Prostitution offences","%","47"
"RCD04C01","Crime incident detection rates","2020","2020","135","Regulated Betting/Money, Collection/Trading Offences","%","75"
"RCD04C01","Crime incident detection rates","2020","2020","136","Other social code offences (nec)","%","88"
"RCD04C01","Crime incident detection rates","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","%","60"
"RCD04C01","Crime incident detection rates","2021","2021","01","Homicide offences","%","89"
"RCD04C01","Crime incident detection rates","2021","2021","011","Murder/manslaughter/infanticide","%","81"
"RCD04C01","Crime incident detection rates","2021","2021","012","Dangerous driving leading to death","%","97"
"RCD04C01","Crime incident detection rates","2021","2021","02","Sexual Offences","%","23"
"RCD04C01","Crime incident detection rates","2021","2021","021","Rape and sexual assault","%","22"
"RCD04C01","Crime incident detection rates","2021","2021","022","Other sexual offences","%","28"
"RCD04C01","Crime incident detection rates","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","36"
"RCD04C01","Crime incident detection rates","2021","2021","0311","Murder-attempt","%","53"
"RCD04C01","Crime incident detection rates","2021","2021","0313","Threat to kill or cause serious harm","%","35"
"RCD04C01","Crime incident detection rates","2021","2021","033","Harassment and related offences","%","13"
"RCD04C01","Crime incident detection rates","2021","2021","034","Assault causing harm, poisoning","%","48"
"RCD04C01","Crime incident detection rates","2021","2021","035","Other assault","%","35"
"RCD04C01","Crime incident detection rates","2021","2021","04","Dangerous of negligent acts","%","87"
"RCD04C01","Crime incident detection rates","2021","2021","041","Dangerous or negligent operation of a vehicle","%","93"
"RCD04C01","Crime incident detection rates","2021","2021","042","Other dangerous or negligent acts","%","29"
"RCD04C01","Crime incident detection rates","2021","2021","05","Kidnapping and related offences","%","44"
"RCD04C01","Crime incident detection rates","2021","2021","0511","False imprisonment","%","52"
"RCD04C01","Crime incident detection rates","2021","2021","0512","Abduction of person under 16 years of age","%","26"
"RCD04C01","Crime incident detection rates","2021","2021","0513","Human trafficking offences","%","31"
"RCD04C01","Crime incident detection rates","2021","2021","06","Robbery, extortion and hijacking offences","%","30"
"RCD04C01","Crime incident detection rates","2021","2021","0611","Robbery of an establishment or institution","%","50"
"RCD04C01","Crime incident detection rates","2021","2021","0612","Robbery of cash or goods in transit","%","0"
"RCD04C01","Crime incident detection rates","2021","2021","0613","Robbery from the person","%","35"
"RCD04C01","Crime incident detection rates","2021","2021","0621","Blackmail or extortion","%","6"
"RCD04C01","Crime incident detection rates","2021","2021","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","19"
"RCD04C01","Crime incident detection rates","2021","2021","07","Burglary and related offences","%","22"
"RCD04C01","Crime incident detection rates","2021","2021","071","Burglary","%","20"
"RCD04C01","Crime incident detection rates","2021","2021","0713","Possession of an article (with intent to burgle, steal, demand)","%","93"
"RCD04C01","Crime incident detection rates","2021","2021","08","Theft and related offences","%","35"
"RCD04C01","Crime incident detection rates","2021","2021","081","Theft/taking of vehicle and related offences","%","23"
"RCD04C01","Crime incident detection rates","2021","2021","0821","Theft from person","%","16"
"RCD04C01","Crime incident detection rates","2021","2021","0822","Theft from shop","%","58"
"RCD04C01","Crime incident detection rates","2021","2021","084","Other thefts, handling stolen property","%","18"
"RCD04C01","Crime incident detection rates","2021","2021","09","Fraud, deception and related offences","%","9"
"RCD04C01","Crime incident detection rates","2021","2021","10","Controlled drug offences","%","91"
"RCD04C01","Crime incident detection rates","2021","2021","1011","Importation of drugs","%","52"
"RCD04C01","Crime incident detection rates","2021","2021","1012","Cultivation or manufacture of drugs","%","83"
"RCD04C01","Crime incident detection rates","2021","2021","1021","Possession of drugs for sale or supply","%","83"
"RCD04C01","Crime incident detection rates","2021","2021","1022","Possession of drugs for personal use","%","94"
"RCD04C01","Crime incident detection rates","2021","2021","103","Other Drug Offences","%","89"
"RCD04C01","Crime incident detection rates","2021","2021","11","Weapons and Explosives Offences","%","76"
"RCD04C01","Crime incident detection rates","2021","2021","111","Explosives, Chemical Weapons offences","%","18"
"RCD04C01","Crime incident detection rates","2021","2021","112","Firearms offences","%","44"
"RCD04C01","Crime incident detection rates","2021","2021","113","Offensive weapons offences (nec)","%","84"
"RCD04C01","Crime incident detection rates","2021","2021","114","Fireworks Offences","%","37"
"RCD04C01","Crime incident detection rates","2021","2021","12","Damage to property and the environment","%","23"
"RCD04C01","Crime incident detection rates","2021","2021","1211","Arson","%","13"
"RCD04C01","Crime incident detection rates","2021","2021","1212","Criminal damage (not arson)","%","24"
"RCD04C01","Crime incident detection rates","2021","2021","1221","Litter offences","%","19"
"RCD04C01","Crime incident detection rates","2021","2021","13","Public order and other social code offences","%","85"
"RCD04C01","Crime incident detection rates","2021","2021","131","Disorderly conduct","%","89"
"RCD04C01","Crime incident detection rates","2021","2021","132","Trespass offences","%","51"
"RCD04C01","Crime incident detection rates","2021","2021","133","Liquor licensing offences","%","51"
"RCD04C01","Crime incident detection rates","2021","2021","134","Prostitution offences","%","42"
"RCD04C01","Crime incident detection rates","2021","2021","135","Regulated Betting/Money, Collection/Trading Offences","%","70"
"RCD04C01","Crime incident detection rates","2021","2021","136","Other social code offences (nec)","%","86"
"RCD04C01","Crime incident detection rates","2021","2021","15","Offences against Government, Justice Procedures and Organisation of Crime","%","58"
"RCD04C01","Crime incident detection rates","2022","2022","01","Homicide offences","%","84"
"RCD04C01","Crime incident detection rates","2022","2022","011","Murder/manslaughter/infanticide","%","79"
"RCD04C01","Crime incident detection rates","2022","2022","012","Dangerous driving leading to death","%","91"
"RCD04C01","Crime incident detection rates","2022","2022","02","Sexual Offences","%","16"
"RCD04C01","Crime incident detection rates","2022","2022","021","Rape and sexual assault","%","15"
"RCD04C01","Crime incident detection rates","2022","2022","022","Other sexual offences","%","20"
"RCD04C01","Crime incident detection rates","2022","2022","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","33"
"RCD04C01","Crime incident detection rates","2022","2022","0311","Murder-attempt","%","46"
"RCD04C01","Crime incident detection rates","2022","2022","0313","Threat to kill or cause serious harm","%","29"
"RCD04C01","Crime incident detection rates","2022","2022","033","Harassment and related offences","%","11"
"RCD04C01","Crime incident detection rates","2022","2022","034","Assault causing harm, poisoning","%","45"
"RCD04C01","Crime incident detection rates","2022","2022","035","Other assault","%","31"
"RCD04C01","Crime incident detection rates","2022","2022","04","Dangerous of negligent acts","%","86"
"RCD04C01","Crime incident detection rates","2022","2022","041","Dangerous or negligent operation of a vehicle","%","92"
"RCD04C01","Crime incident detection rates","2022","2022","042","Other dangerous or negligent acts","%","29"
"RCD04C01","Crime incident detection rates","2022","2022","05","Kidnapping and related offences","%","40"
"RCD04C01","Crime incident detection rates","2022","2022","0511","False imprisonment","%","50"
"RCD04C01","Crime incident detection rates","2022","2022","0512","Abduction of person under 16 years of age","%","22"
"RCD04C01","Crime incident detection rates","2022","2022","0513","Human trafficking offences","%","17"
"RCD04C01","Crime incident detection rates","2022","2022","06","Robbery, extortion and hijacking offences","%","29"
"RCD04C01","Crime incident detection rates","2022","2022","0611","Robbery of an establishment or institution","%","54"
"RCD04C01","Crime incident detection rates","2022","2022","0612","Robbery of cash or goods in transit","%","25"
"RCD04C01","Crime incident detection rates","2022","2022","0613","Robbery from the person","%","33"
"RCD04C01","Crime incident detection rates","2022","2022","0621","Blackmail or extortion","%","4"
"RCD04C01","Crime incident detection rates","2022","2022","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","28"
"RCD04C01","Crime incident detection rates","2022","2022","07","Burglary and related offences","%","22"
"RCD04C01","Crime incident detection rates","2022","2022","071","Burglary","%","19"
"RCD04C01","Crime incident detection rates","2022","2022","0713","Possession of an article (with intent to burgle, steal, demand)","%","94"
"RCD04C01","Crime incident detection rates","2022","2022","08","Theft and related offences","%","32"
"RCD04C01","Crime incident detection rates","2022","2022","081","Theft/taking of vehicle and related offences","%","17"
"RCD04C01","Crime incident detection rates","2022","2022","0821","Theft from person","%","11"
"RCD04C01","Crime incident detection rates","2022","2022","0822","Theft from shop","%","55"
"RCD04C01","Crime incident detection rates","2022","2022","084","Other thefts, handling stolen property","%","17"
"RCD04C01","Crime incident detection rates","2022","2022","09","Fraud, deception and related offences","%","10"
"RCD04C01","Crime incident detection rates","2022","2022","10","Controlled drug offences","%","89"
"RCD04C01","Crime incident detection rates","2022","2022","1011","Importation of drugs","%","64"
"RCD04C01","Crime incident detection rates","2022","2022","1012","Cultivation or manufacture of drugs","%","66"
"RCD04C01","Crime incident detection rates","2022","2022","1021","Possession of drugs for sale or supply","%","78"
"RCD04C01","Crime incident detection rates","2022","2022","1022","Possession of drugs for personal use","%","93"
"RCD04C01","Crime incident detection rates","2022","2022","103","Other Drug Offences","%","86"
"RCD04C01","Crime incident detection rates","2022","2022","11","Weapons and Explosives Offences","%","74"
"RCD04C01","Crime incident detection rates","2022","2022","111","Explosives, Chemical Weapons offences","%","8"
"RCD04C01","Crime incident detection rates","2022","2022","112","Firearms offences","%","39"
"RCD04C01","Crime incident detection rates","2022","2022","113","Offensive weapons offences (nec)","%","84"
"RCD04C01","Crime incident detection rates","2022","2022","114","Fireworks Offences","%","31"
"RCD04C01","Crime incident detection rates","2022","2022","12","Damage to property and the environment","%","21"
"RCD04C01","Crime incident detection rates","2022","2022","1211","Arson","%","14"
"RCD04C01","Crime incident detection rates","2022","2022","1212","Criminal damage (not arson)","%","22"
"RCD04C01","Crime incident detection rates","2022","2022","1221","Litter offences","%","15"
"RCD04C01","Crime incident detection rates","2022","2022","13","Public order and other social code offences","%","83"
"RCD04C01","Crime incident detection rates","2022","2022","131","Disorderly conduct","%","86"
"RCD04C01","Crime incident detection rates","2022","2022","132","Trespass offences","%","49"
"RCD04C01","Crime incident detection rates","2022","2022","133","Liquor licensing offences","%","61"
"RCD04C01","Crime incident detection rates","2022","2022","134","Prostitution offences","%","49"
"RCD04C01","Crime incident detection rates","2022","2022","135","Regulated Betting/Money, Collection/Trading Offences","%","65"
"RCD04C01","Crime incident detection rates","2022","2022","136","Other social code offences (nec)","%","82"
"RCD04C01","Crime incident detection rates","2022","2022","15","Offences against Government, Justice Procedures and Organisation of Crime","%","58"
"RCD04C01","Crime incident detection rates","2023","2023","01","Homicide offences","%","82"
"RCD04C01","Crime incident detection rates","2023","2023","011","Murder/manslaughter/infanticide","%","70"
"RCD04C01","Crime incident detection rates","2023","2023","012","Dangerous driving leading to death","%","95"
"RCD04C01","Crime incident detection rates","2023","2023","02","Sexual Offences","%","8"
"RCD04C01","Crime incident detection rates","2023","2023","021","Rape and sexual assault","%","7"
"RCD04C01","Crime incident detection rates","2023","2023","022","Other sexual offences","%","11"
"RCD04C01","Crime incident detection rates","2023","2023","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","%","28"
"RCD04C01","Crime incident detection rates","2023","2023","0311","Murder-attempt","%","43"
"RCD04C01","Crime incident detection rates","2023","2023","0313","Threat to kill or cause serious harm","%","23"
"RCD04C01","Crime incident detection rates","2023","2023","033","Harassment and related offences","%","8"
"RCD04C01","Crime incident detection rates","2023","2023","034","Assault causing harm, poisoning","%","37"
"RCD04C01","Crime incident detection rates","2023","2023","035","Other assault","%","27"
"RCD04C01","Crime incident detection rates","2023","2023","04","Dangerous of negligent acts","%","84"
"RCD04C01","Crime incident detection rates","2023","2023","041","Dangerous or negligent operation of a vehicle","%","91"
"RCD04C01","Crime incident detection rates","2023","2023","042","Other dangerous or negligent acts","%","26"
"RCD04C01","Crime incident detection rates","2023","2023","05","Kidnapping and related offences","%","33"
"RCD04C01","Crime incident detection rates","2023","2023","0511","False imprisonment","%","42"
"RCD04C01","Crime incident detection rates","2023","2023","0512","Abduction of person under 16 years of age","%","5"
"RCD04C01","Crime incident detection rates","2023","2023","0513","Human trafficking offences","%","14"
"RCD04C01","Crime incident detection rates","2023","2023","06","Robbery, extortion and hijacking offences","%","23"
"RCD04C01","Crime incident detection rates","2023","2023","0611","Robbery of an establishment or institution","%","54"
"RCD04C01","Crime incident detection rates","2023","2023","0612","Robbery of cash or goods in transit","%","67"
"RCD04C01","Crime incident detection rates","2023","2023","0613","Robbery from the person","%","27"
"RCD04C01","Crime incident detection rates","2023","2023","0621","Blackmail or extortion","%","2"
"RCD04C01","Crime incident detection rates","2023","2023","0631","Carjacking, hijacking/unlawful seizure of an aircraft/vessel","%","24"
"RCD04C01","Crime incident detection rates","2023","2023","07","Burglary and related offences","%","22"
"RCD04C01","Crime incident detection rates","2023","2023","071","Burglary","%","20"
"RCD04C01","Crime incident detection rates","2023","2023","0713","Possession of an article (with intent to burgle, steal, demand)","%","91"
"RCD04C01","Crime incident detection rates","2023","2023","08","Theft and related offences","%","31"
"RCD04C01","Crime incident detection rates","2023","2023","081","Theft/taking of vehicle and related offences","%","16"
"RCD04C01","Crime incident detection rates","2023","2023","0821","Theft from person","%","9"
"RCD04C01","Crime incident detection rates","2023","2023","0822","Theft from shop","%","52"
"RCD04C01","Crime incident detection rates","2023","2023","084","Other thefts, handling stolen property","%","17"
"RCD04C01","Crime incident detection rates","2023","2023","09","Fraud, deception and related offences","%","8"
"RCD04C01","Crime incident detection rates","2023","2023","10","Controlled drug offences","%","79"
"RCD04C01","Crime incident detection rates","2023","2023","1011","Importation of drugs","%","76"
"RCD04C01","Crime incident detection rates","2023","2023","1012","Cultivation or manufacture of drugs","%","60"
